Country,Subcategory,Unit,Year,Actual
South Korea,Economy Dry Cat Food,Kilograms,2021,32826573
South Korea,Economy Dry Cat Food,Kilograms,2022,86626171
South Korea,Economy Dry Cat Food,Kilograms,2023,57175735
South Korea,Economy Dry Cat Food,Kilograms,2024,68734435
South Korea,Economy Dry Cat Food,Kilograms,2025,72368510
South Korea,Economy Dry Dog Food,Kilograms,2012,68746902
South Korea,Economy Dry Dog Food,Kilograms,2013,42771378
South Korea,Economy Dry Dog Food,Kilograms,2014,21130421
South Korea,Economy Dry Dog Food,Kilograms,2015,88262957
South Korea,Economy Dry Dog Food,Kilograms,2016,86304034
South Korea,Economy Dry Dog Food,Kilograms,2017,66250802
South Korea,Economy Dry Dog Food,Kilograms,2018,44483659
South Korea,Economy Dry Dog Food,Kilograms,2019,40546589
South Korea,Economy Dry Dog Food,Kilograms,2020,87311367
South Korea,Economy Dry Dog Food,Kilograms,2021,29023926
South Korea,Economy Dry Dog Food,Kilograms,2022,75557170
South Korea,Economy Dry Dog Food,Kilograms,2023,43106377
South Korea,Economy Dry Dog Food,Kilograms,2024,39084859
South Korea,Economy Dry Dog Food,Kilograms,2025,26431182
South Korea,Mid-Priced Dry Cat Food,Kilograms,2012,78233976
South Korea,Mid-Priced Dry Cat Food,Kilograms,2013,53435230
South Korea,Mid-Priced Dry Cat Food,Kilograms,2014,22747050
South Korea,Mid-Priced Dry Cat Food,Kilograms,2015,21971595
South Korea,Mid-Priced Dry Cat Food,Kilograms,2016,79715889
South Korea,Mid-Priced Dry Cat Food,Kilograms,2017,22867768
South Korea,Mid-Priced Dry Cat Food,Kilograms,2018,42249630
South Korea,Mid-Priced Dry Cat Food,Kilograms,2019,67102343
South Korea,Mid-Priced Dry Cat Food,Kilograms,2020,59003163
South Korea,Mid-Priced Dry Cat Food,Kilograms,2021,28987439
South Korea,Mid-Priced Dry Cat Food,Kilograms,2022,44113455
South Korea,Mid-Priced Dry Cat Food,Kilograms,2023,48864990
South Korea,Mid-Priced Dry Cat Food,Kilograms,2024,46151393
South Korea,Mid-Priced Dry Cat Food,Kilograms,2025,22646598
South Korea,Mid-Priced Dry Dog Food,Kilograms,2012,40138032
South Korea,Mid-Priced Dry Dog Food,Kilograms,2013,47963885
South Korea,Mid-Priced Dry Dog Food,Kilograms,2014,25393664
South Korea,Mid-Priced Dry Dog Food,Kilograms,2015,71045646
South Korea,Mid-Priced Dry Dog Food,Kilograms,2016,66095663
South Korea,Mid-Priced Dry Dog Food,Kilograms,2017,79873571
South Korea,Mid-Priced Dry Dog Food,Kilograms,2018,40602892
South Korea,Mid-Priced Dry Dog Food,Kilograms,2019,47441456
South Korea,Mid-Priced Dry Dog Food,Kilograms,2020,26226722
South Korea,Mid-Priced Dry Dog Food,Kilograms,2021,40272276
South Korea,Mid-Priced Dry Dog Food,Kilograms,2022,62226017
South Korea,Mid-Priced Dry Dog Food,Kilograms,2023,60445350
South Korea,Mid-Priced Dry Dog Food,Kilograms,2024,79708765
South Korea,Mid-Priced Dry Dog Food,Kilograms,2025,56917379
South Korea,Mid-Priced Wet Cat Food,Kilograms,2012,81547164
South Korea,Mid-Priced Wet Cat Food,Kilograms,2013,86954693
South Korea,Mid-Priced Wet Cat Food,Kilograms,2014,82734898
South Korea,Mid-Priced Wet Cat Food,Kilograms,2015,60566578
South Korea,Mid-Priced Wet Cat Food,Kilograms,2016,34338904
South Korea,Mid-Priced Wet Cat Food,Kilograms,2017,72342223
South Korea,Mid-Priced Wet Cat Food,Kilograms,2018,34648237
South Korea,Mid-Priced Wet Cat Food,Kilograms,2019,57163947
South Korea,Mid-Priced Wet Cat Food,Kilograms,2020,74871446
South Korea,Mid-Priced Wet Cat Food,Kilograms,2021,80429606
South Korea,Mid-Priced Wet Cat Food,Kilograms,2022,20075889
South Korea,Mid-Priced Wet Cat Food,Kilograms,2023,40698794
South Korea,Mid-Priced Wet Cat Food,Kilograms,2024,46357887
South Korea,Mid-Priced Wet Cat Food,Kilograms,2025,78329157
South Korea,Mid-Priced Wet Dog Food,Kilograms,2012,59992303
South Korea,Mid-Priced Wet Dog Food,Kilograms,2013,68848830
South Korea,Mid-Priced Wet Dog Food,Kilograms,2014,72781147
South Korea,Mid-Priced Wet Dog Food,Kilograms,2015,83790569
South Korea,Mid-Priced Wet Dog Food,Kilograms,2016,35958339
South Korea,Mid-Priced Wet Dog Food,Kilograms,2017,88482646
South Korea,Mid-Priced Wet Dog Food,Kilograms,2018,40373989
South Korea,Mid-Priced Wet Dog Food,Kilograms,2019,78027141
South Korea,Mid-Priced Wet Dog Food,Kilograms,2020,46584232
South Korea,Mid-Priced Wet Dog Food,Kilograms,2021,88206131
South Korea,Mid-Priced Wet Dog Food,Kilograms,2022,49665423
South Korea,Mid-Priced Wet Dog Food,Kilograms,2023,24481874
South Korea,Mid-Priced Wet Dog Food,Kilograms,2024,74022172
South Korea,Mid-Priced Wet Dog Food,Kilograms,2025,34561255
South Korea,Premium Dry Cat Food,Kilograms,2012,57889560
South Korea,Premium Dry Cat Food,Kilograms,2013,26968965
South Korea,Premium Dry Cat Food,Kilograms,2014,60971429
South Korea,Premium Dry Cat Food,Kilograms,2015,89476871
South Korea,Premium Dry Cat Food,Kilograms,2016,28626890
South Korea,Premium Dry Cat Food,Kilograms,2017,78850414
South Korea,Premium Dry Cat Food,Kilograms,2018,82355434
South Korea,Premium Dry Cat Food,Kilograms,2019,59097225
South Korea,Premium Dry Cat Food,Kilograms,2020,57748798
South Korea,Premium Dry Cat Food,Kilograms,2021,27234719
South Korea,Premium Dry Cat Food,Kilograms,2022,29954217
South Korea,Premium Dry Cat Food,Kilograms,2023,68091523
South Korea,Premium Dry Cat Food,Kilograms,2024,57043927
South Korea,Premium Dry Cat Food,Kilograms,2025,31135709
South Korea,Premium Dry Dog Food,Kilograms,2012,55207612
South Korea,Premium Dry Dog Food,Kilograms,2013,70836910
South Korea,Premium Dry Dog Food,Kilograms,2014,20185124
South Korea,Premium Dry Dog Food,Kilograms,2015,20773647
South Korea,Premium Dry Dog Food,Kilograms,2016,30707766
South Korea,Premium Dry Dog Food,Kilograms,2017,20865179
South Korea,Premium Dry Dog Food,Kilograms,2018,49549107
South Korea,Premium Dry Dog Food,Kilograms,2019,46047102
South Korea,Premium Dry Dog Food,Kilograms,2020,72364565
South Korea,Premium Dry Dog Food,Kilograms,2021,48350505
South Korea,Premium Dry Dog Food,Kilograms,2022,69678604
South Korea,Premium Dry Dog Food,Kilograms,2023,40051580
South Korea,Premium Dry Dog Food,Kilograms,2024,53431535
South Korea,Premium Dry Dog Food,Kilograms,2025,74048171
South Korea,Premium Wet Cat Food,Kilograms,2012,48091788
South Korea,Premium Wet Cat Food,Kilograms,2013,42356966
South Korea,Premium Wet Cat Food,Kilograms,2014,25588398
South Korea,Premium Wet Cat Food,Kilograms,2015,83201412
South Korea,Premium Wet Cat Food,Kilograms,2016,42444590
South Korea,Premium Wet Cat Food,Kilograms,2017,83663848
South Korea,Premium Wet Cat Food,Kilograms,2018,80706626
South Korea,Premium Wet Cat Food,Kilograms,2019,75905771
South Korea,Premium Wet Cat Food,Kilograms,2020,47037531
South Korea,Premium Wet Cat Food,Kilograms,2021,43580556
South Korea,Premium Wet Cat Food,Kilograms,2022,54950253
South Korea,Premium Wet Cat Food,Kilograms,2023,65262428
South Korea,Premium Wet Cat Food,Kilograms,2024,37657324
South Korea,Premium Wet Cat Food,Kilograms,2025,74768754
South Korea,Premium Wet Dog Food,Kilograms,2012,78661032
South Korea,Premium Wet Dog Food,Kilograms,2013,86927635
South Korea,Premium Wet Dog Food,Kilograms,2014,27983742
South Korea,Premium Wet Dog Food,Kilograms,2015,78068648
South Korea,Premium Wet Dog Food,Kilograms,2016,77476450
South Korea,Premium Wet Dog Food,Kilograms,2017,74608560
South Korea,Premium Wet Dog Food,Kilograms,2018,46579622
South Korea,Premium Wet Dog Food,Kilograms,2019,46824516
South Korea,Premium Wet Dog Food,Kilograms,2020,25239720
South Korea,Premium Wet Dog Food,Kilograms,2021,39694212
South Korea,Premium Wet Dog Food,Kilograms,2022,57096369
South Korea,Premium Wet Dog Food,Kilograms,2023,83386440
South Korea,Premium Wet Dog Food,Kilograms,2024,41053945
South Korea,Premium Wet Dog Food,Kilograms,2025,48935613
Thailand,Economy Dry Cat Food,Kilograms,2012,71479675
Thailand,Economy Dry Cat Food,Kilograms,2013,31979187
Thailand,Economy Dry Cat Food,Kilograms,2014,83971953
Thailand,Economy Dry Cat Food,Kilograms,2015,52005269
Thailand,Economy Dry Cat Food,Kilograms,2016,48992353
Thailand,Economy Dry Cat Food,Kilograms,2017,79390370
Thailand,Economy Dry Cat Food,Kilograms,2018,25894210
Thailand,Economy Dry Cat Food,Kilograms,2019,23825012
Thailand,Economy Dry Cat Food,Kilograms,2020,20216034
Thailand,Economy Dry Cat Food,Kilograms,2021,75527222
Thailand,Economy Dry Cat Food,Kilograms,2022,44929487
Thailand,Economy Dry Cat Food,Kilograms,2023,69743979
Thailand,Economy Dry Cat Food,Kilograms,2024,42586882
Thailand,Economy Dry Cat Food,Kilograms,2025,24021186
Thailand,Economy Dry Dog Food,Kilograms,2012,38858205
Thailand,Economy Dry Dog Food,Kilograms,2013,51404865
Thailand,Economy Dry Dog Food,Kilograms,2014,27699381
Thailand,Economy Dry Dog Food,Kilograms,2015,52524850
Thailand,Economy Dry Dog Food,Kilograms,2016,30925826
Thailand,Economy Dry Dog Food,Kilograms,2017,35235719
Thailand,Economy Dry Dog Food,Kilograms,2018,23443747
Thailand,Economy Dry Dog Food,Kilograms,2019,75703273
Thailand,Economy Dry Dog Food,Kilograms,2020,24563014
Thailand,Economy Dry Dog Food,Kilograms,2021,87887498
Thailand,Economy Dry Dog Food,Kilograms,2022,46386227
Thailand,Economy Dry Dog Food,Kilograms,2023,84163944
Thailand,Economy Dry Dog Food,Kilograms,2024,20970989
Thailand,Economy Dry Dog Food,Kilograms,2025,56442732
Thailand,Economy Wet Cat Food,Kilograms,2012,66508390
Thailand,Economy Wet Cat Food,Kilograms,2013,69657437
Thailand,Economy Wet Cat Food,Kilograms,2014,40851856
Thailand,Economy Wet Cat Food,Kilograms,2015,38989422
Thailand,Economy Wet Cat Food,Kilograms,2016,20649696
Thailand,Economy Wet Cat Food,Kilograms,2017,89056490
Thailand,Economy Wet Cat Food,Kilograms,2018,73797945
Thailand,Economy Wet Cat Food,Kilograms,2019,51761795
Thailand,Economy Wet Cat Food,Kilograms,2020,47655150
Thailand,Economy Wet Cat Food,Kilograms,2021,48319138
Thailand,Economy Wet Cat Food,Kilograms,2022,26240790
Thailand,Economy Wet Cat Food,Kilograms,2023,65133450
Thailand,Economy Wet Cat Food,Kilograms,2024,73240788
Thailand,Economy Wet Cat Food,Kilograms,2025,88238259
Thailand,Economy Wet Dog Food,Kilograms,2012,21950432
Thailand,Economy Wet Dog Food,Kilograms,2013,25434508
Thailand,Economy Wet Dog Food,Kilograms,2014,50779660
Thailand,Economy Wet Dog Food,Kilograms,2015,65064007
Thailand,Economy Wet Dog Food,Kilograms,2016,57355901
Thailand,Economy Wet Dog Food,Kilograms,2017,86401239
Thailand,Economy Wet Dog Food,Kilograms,2018,70567003
Thailand,Economy Wet Dog Food,Kilograms,2019,37741757
Thailand,Economy Wet Dog Food,Kilograms,2020,37096874
Thailand,Economy Wet Dog Food,Kilograms,2021,80764891
Thailand,Economy Wet Dog Food,Kilograms,2022,60760060
Thailand,Economy Wet Dog Food,Kilograms,2023,43300572
Thailand,Economy Wet Dog Food,Kilograms,2024,48066055
Thailand,Economy Wet Dog Food,Kilograms,2025,74890011
Thailand,Mid-Priced Dry Cat Food,Kilograms,2012,52044408
Thailand,Mid-Priced Dry Cat Food,Kilograms,2013,89774706
Thailand,Mid-Priced Dry Cat Food,Kilograms,2014,30394672
Thailand,Mid-Priced Dry Cat Food,Kilograms,2015,52375578
Thailand,Mid-Priced Dry Cat Food,Kilograms,2016,38373684
Thailand,Mid-Priced Dry Cat Food,Kilograms,2017,77228543
Thailand,Mid-Priced Dry Cat Food,Kilograms,2018,36048091
Thailand,Mid-Priced Dry Cat Food,Kilograms,2019,26153534
Thailand,Mid-Priced Dry Cat Food,Kilograms,2020,62259877
Thailand,Mid-Priced Dry Cat Food,Kilograms,2021,89502744
Thailand,Mid-Priced Dry Cat Food,Kilograms,2022,55660250
Thailand,Mid-Priced Dry Cat Food,Kilograms,2023,32510609
Thailand,Mid-Priced Dry Cat Food,Kilograms,2024,81276370
Thailand,Mid-Priced Dry Cat Food,Kilograms,2025,87483189
Thailand,Mid-Priced Dry Dog Food,Kilograms,2012,67471150
Thailand,Mid-Priced Dry Dog Food,Kilograms,2013,87078160
Thailand,Mid-Priced Dry Dog Food,Kilograms,2014,38048104
Thailand,Mid-Priced Dry Dog Food,Kilograms,2015,45001694
Thailand,Mid-Priced Dry Dog Food,Kilograms,2016,32261112
Thailand,Mid-Priced Dry Dog Food,Kilograms,2017,47017321
Thailand,Mid-Priced Dry Dog Food,Kilograms,2018,74729645
Thailand,Mid-Priced Dry Dog Food,Kilograms,2019,86744316
Thailand,Mid-Priced Dry Dog Food,Kilograms,2020,64898962
Thailand,Mid-Priced Dry Dog Food,Kilograms,2021,82061067
Thailand,Mid-Priced Dry Dog Food,Kilograms,2022,70558798
Thailand,Mid-Priced Dry Dog Food,Kilograms,2023,51845736
Thailand,Mid-Priced Dry Dog Food,Kilograms,2024,85486764
Thailand,Mid-Priced Dry Dog Food,Kilograms,2025,31421482
Thailand,Mid-Priced Wet Cat Food,Kilograms,2012,33179844
Thailand,Mid-Priced Wet Cat Food,Kilograms,2013,89488102
Thailand,Mid-Priced Wet Cat Food,Kilograms,2014,53826923
Thailand,Mid-Priced Wet Cat Food,Kilograms,2015,69258372
Thailand,Mid-Priced Wet Cat Food,Kilograms,2016,23579378
Thailand,Mid-Priced Wet Cat Food,Kilograms,2017,70362237
Thailand,Mid-Priced Wet Cat Food,Kilograms,2018,31016600
Thailand,Mid-Priced Wet Cat Food,Kilograms,2019,37338804
Thailand,Mid-Priced Wet Cat Food,Kilograms,2020,63107349
Thailand,Mid-Priced Wet Cat Food,Kilograms,2021,29853368
Thailand,Mid-Priced Wet Cat Food,Kilograms,2022,71651177
Thailand,Mid-Priced Wet Cat Food,Kilograms,2023,30283666
Thailand,Mid-Priced Wet Cat Food,Kilograms,2024,75645370
Thailand,Mid-Priced Wet Cat Food,Kilograms,2025,46631405
Thailand,Mid-Priced Wet Dog Food,Kilograms,2012,85813979
Thailand,Mid-Priced Wet Dog Food,Kilograms,2013,31578070
Thailand,Mid-Priced Wet Dog Food,Kilograms,2014,29545807
Thailand,Mid-Priced Wet Dog Food,Kilograms,2015,89555970
Thailand,Mid-Priced Wet Dog Food,Kilograms,2016,76718320
Thailand,Mid-Priced Wet Dog Food,Kilograms,2017,85599869
Thailand,Mid-Priced Wet Dog Food,Kilograms,2018,78996486
Thailand,Mid-Priced Wet Dog Food,Kilograms,2019,34393744
Thailand,Mid-Priced Wet Dog Food,Kilograms,2020,80848740
Thailand,Mid-Priced Wet Dog Food,Kilograms,2021,59107868
Thailand,Mid-Priced Wet Dog Food,Kilograms,2022,75473423
Thailand,Mid-Priced Wet Dog Food,Kilograms,2023,85858334
Thailand,Mid-Priced Wet Dog Food,Kilograms,2024,36623093
Thailand,Mid-Priced Wet Dog Food,Kilograms,2025,75063720
Thailand,Premium Dry Cat Food,Kilograms,2012,31441482
Thailand,Premium Dry Cat Food,Kilograms,2013,42399324
Thailand,Premium Dry Cat Food,Kilograms,2014,83171537
Thailand,Premium Dry Cat Food,Kilograms,2015,23043067
Thailand,Premium Dry Cat Food,Kilograms,2016,60057008
Thailand,Premium Dry Cat Food,Kilograms,2017,81046631
Thailand,Premium Dry Cat Food,Kilograms,2018,57334947
Thailand,Premium Dry Cat Food,Kilograms,2019,41956239
Thailand,Premium Dry Cat Food,Kilograms,2020,42980830
Thailand,Premium Dry Cat Food,Kilograms,2021,44677354
Thailand,Premium Dry Cat Food,Kilograms,2022,39908205
Thailand,Premium Dry Cat Food,Kilograms,2023,28293420
Thailand,Premium Dry Cat Food,Kilograms,2024,85206380
Thailand,Premium Dry Cat Food,Kilograms,2025,40338290
Thailand,Premium Dry Dog Food,Kilograms,2012,30341306
Thailand,Premium Dry Dog Food,Kilograms,2013,63943505
Thailand,Premium Dry Dog Food,Kilograms,2014,48003723
Thailand,Premium Dry Dog Food,Kilograms,2015,46974888
Thailand,Premium Dry Dog Food,Kilograms,2016,45911192
Thailand,Premium Dry Dog Food,Kilograms,2017,56474526
Thailand,Premium Dry Dog Food,Kilograms,2018,42401091
Thailand,Premium Dry Dog Food,Kilograms,2019,25018094
Thailand,Premium Dry Dog Food,Kilograms,2020,77527620
Thailand,Premium Dry Dog Food,Kilograms,2021,81475355
Thailand,Premium Dry Dog Food,Kilograms,2022,66708291
Thailand,Premium Dry Dog Food,Kilograms,2023,53530587
Thailand,Premium Dry Dog Food,Kilograms,2024,41079503
Thailand,Premium Dry Dog Food,Kilograms,2025,22100226
Thailand,Premium Wet Cat Food,Kilograms,2012,31539990
Thailand,Premium Wet Cat Food,Kilograms,2013,43179377
Thailand,Premium Wet Cat Food,Kilograms,2014,48677778
Thailand,Premium Wet Cat Food,Kilograms,2015,73204484
Thailand,Premium Wet Cat Food,Kilograms,2016,86349001
Thailand,Premium Wet Cat Food,Kilograms,2017,24382282
Thailand,Premium Wet Cat Food,Kilograms,2018,67928859
Thailand,Premium Wet Cat Food,Kilograms,2019,87697594
Thailand,Premium Wet Cat Food,Kilograms,2020,24206651
Thailand,Premium Wet Cat Food,Kilograms,2021,84125233
Thailand,Premium Wet Cat Food,Kilograms,2022,78203187
Thailand,Premium Wet Cat Food,Kilograms,2023,26901000
Thailand,Premium Wet Cat Food,Kilograms,2024,53479391
Thailand,Premium Wet Cat Food,Kilograms,2025,49388327
Thailand,Premium Wet Dog Food,Kilograms,2012,56551606
Thailand,Premium Wet Dog Food,Kilograms,2013,27854576
Thailand,Premium Wet Dog Food,Kilograms,2014,59608117
Thailand,Premium Wet Dog Food,Kilograms,2015,80585721
Thailand,Premium Wet Dog Food,Kilograms,2016,75117167
Thailand,Premium Wet Dog Food,Kilograms,2017,36691010
Thailand,Premium Wet Dog Food,Kilograms,2018,35234948
Thailand,Premium Wet Dog Food,Kilograms,2019,27215303
Thailand,Premium Wet Dog Food,Kilograms,2020,84196056
Thailand,Premium Wet Dog Food,Kilograms,2021,76367745
Thailand,Premium Wet Dog Food,Kilograms,2022,46007900
Thailand,Premium Wet Dog Food,Kilograms,2023,47775586
Thailand,Premium Wet Dog Food,Kilograms,2024,21985484
Thailand,Premium Wet Dog Food,Kilograms,2025,37740475
